I feel like I can be myself at work.,My tasks at my work are in line with what I really want to do.,I am free to express my ideas and opinions on my work.,I really master my tasks at work.,I feel competent at work.,I have been able to learn interesting new skills at work.,"At my work, I feel part of a group.","At my work, I can talk with people about things that really matter to me.",People at my work care about me.,"Considering everything, I am satisfied with my work.",The team means a lot to me personally.,"If I could choose, I would continue working in my team one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network at work.,People I work with are friendly.,The team could do more for me.,My family and friends appreciate the work I do for the team.,I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At work, I feel strong and vigorous.",I feel emotionally drained from my work.,I feel frustrated by my work.,What year were you born in?,What is your gender?,Team Name
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Often,Sometimes,,,prova 2 
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Very often,Rarely,Sometimes,,,FRC MOTI-team
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Very often,Almost never,Sometimes,,,FRC MOTI-team
Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Never,Every day,Very often,,,FRC MOTI-team
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Rarely,Rarely,,,FRC MOTI-team
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Every day,Often,,,FRC MOTI-team
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Often,Sometimes,Sometimes,,,FRC MOTI-team
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Almost never,Often,Very often,,,CRI Team
Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,CRI Team
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Rarely,,,CRI Team
Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Often,Very often,,,CRI Team
Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Sometimes,,,CRI Team
Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,,,CRI Team
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Often,Sometimes,Sometimes,,,CRI Team
Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Very often,Sometimes,Often,,,CRI Team
Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Strongly agree,Neutral,Neutral,Somewhat agree,Very often,Almost never,Almost never,,,CRI Team
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Somewhat agree,Neutral,Neutral,Strongly agree,Very often,Sometimes,Sometimes,,,"Restoring Family Links – Developing by Learning and Sharing Finland, Denmark, Turkey"
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Often,Sometimes,,,"Restoring Family Links – Developing by Learning and Sharing Finland, Denmark, Turkey"
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Strongly agree,Sometimes,Sometimes,Sometimes,,,"Restoring Family Links – Developing by Learning and Sharing Finland, Denmark, Turkey"
Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Very often,Sometimes,Sometimes,,,Finnish Red Cross Management group
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Very often,Sometimes,,,Finnish Red Cross Management group
Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Sometimes,Often,Sometimes,,,Finnish Red Cross Management group
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Almost never,Almost never,,,Finnish Red Cross Management group
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Often,Rarely,Sometimes,,,Finnish Red Cross Management group
Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,,,Finnish Red Cross Management group
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Often,Sometimes,Rarely,,,Finnish Red Cross Management group
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Often,Sometimes,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Often,Sometimes,Rarely,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Strongly agree,Often,Sometimes,Almost never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Very often,Almost never,Rarely,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Very often,Often,Often,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Rarely,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Rarely,Never,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Never,Never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Very often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Rarely,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Sometimes,Sometimes,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Very often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Rarely,Rarely,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Every day,Never,Never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Sometimes,Very often,Often,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Sometimes,Sometimes,,,Johtamisvalmennuspilotti 2021
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Very often,Never,Never,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Very often,Almost never,Almost never,,,Johtamisvalmennuspilotti 2021
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Sometimes,Rarely,,,Johtamisvalmennuspilotti 2021
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Sometimes,Sometimes,,,SPR Kotimaan johto
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Often,Often,Sometimes,,,SPR Kotimaan johto
Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Often,Sometimes,,,SPR Kotimaan johto
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Very often,Very often,,,SPR Kotimaan johto
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Rarely,,,SPR Kotimaan johto
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Almost never,Never,,,Åboland
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Never,Almost never,,,Åboland
Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Sometimes,Sometimes,Rarely,,,Åboland
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Often,Sometimes,Often,,,Åboland
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Rarely,Sometimes,,,Åboland
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Sometimes,Sometimes,,,Åboland
Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,QARMA-enheten
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Sometimes,Rarely,Sometimes,,,Piiritoimisto
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Rarely,,,Piiritoimisto
Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,Piiritoimisto
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Sometimes,Almost never,Rarely,,,Piiritoimisto
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Often,Rarely,Rarely,,,Piiritoimisto
